"","line","is_book","is_text"
"1","","book",NA
"2","Jakob Michael Reinhold Lenz","book",NA
"3","","book",NA
"4","Eine Komoedie.","book",NA
"5","","book",NA
"6","","book",NA
"7","Namen.","book",NA
"8","","book",NA
"9","Herr von Berg. Geheimer Rath.","book",NA
"10","Der Major.  Sein Bruder.","book",NA
"11","Die Majorin.","book",NA
"12","Gustchen.  Ihre Tochter.","book",NA
"13","Fritz von Berg.","book",NA
"14","Graf Wermuth.","book",NA
"15","Laeuffer.  Ein Hofmeister.","book",NA
"16","Paetus und Bollwerk.  Studenten.","book",NA
"17","Herr von Seiffenblase.","book",NA
"18","Sein Hofmeister.","book",NA
"19","Frau Hamster.  Raethin.","book",NA
"20","Jungfer Hamster.","book",NA
"21","Jungfer Knicks.","book",NA
"22","Frau Blitzer.","book",NA
"23","Wenzeslaus.  Ein Schulmeister.","book",NA
"24","Marthe.  Alte Frau.","book",NA
"25","Lise.","book",NA
"26","Der alte Paetus.","book",NA
"27","Der alte Laeuffer.  Stadtprediger.","book",NA
"28","Leopold.  Junker des Majors.  Ein Kind.","book",NA
"29","Herr Rehhaar.  Lautenist.","book",NA
"30","Jungfer Rehhaar.  Seine Tochter.","book",NA
"31","","book",NA
"32","","book",NA
