"","speaker_clean","n"
"1","Geh. Rath.",681
"2","Wenzeslaus.",600
"3","Paetus.",428
"4","Fritz.",427
"5","Major.",426
"6","Laeuffer.",400
"7","Gustchen.",198
"8","Rehaar.",176
"9","Majorin.",166
"10","Bollwerk.",98
"11","Pastor.",88
"12","Graf.",86
"13","Lise.",84
"14","Marthe.",61
"15","Hofmeister.",58
"16","Frau Blitzer.",52
"17","Der alte Paetus.",44
"18","Seiffenblase.",37
"19","Jungfer Knicks.",33
"20","",24
"21","Herr von Seiffenblase.",20
"22","Schoepsen.",17
"23","Die Schule.",10
"24","Frau Hamster.",10
"25","Jungfer Rehaar.",7
"26","In Heidelbrunn.",6
"27","Graf Wermuth.",5
"28","Jungfer Hamster.",5
"29","Geheimer Rath.  Major.",4
"30","In Leipzig.",4
"31","Bedienter.",3
"32","Dritter Akt.",3
"33","Fritz v. Berg.",3
"34","Fuenfter Akt.",3
"35","Zweyter Akt.",3
"36","Vierter Akt.",3
"37","Der Major",2
"38","Der Major.",2
"39","Der Majorin Zimmer.",2
"40","Die Majorin.  Graf Wermuth.",2
"41","Ein Waeldchen vor Leipzig.",2
"42","Eine Bettlerhuette im Walde.",2
"43","Eine Schule im Dorf",2
"44","Erster Akt.",2
"45","Frau Hamster.  Jungfer Hamster.  Jungfer Knicks.",2
"46","Fritz von Berg und Rehaar.",2
"47","Fuenfte Scene.",2
"48","Geheimer Rath.  Fritz von Berg. Paetus.  Gustchen.  Jungfer",2
"49","In Halle.",2
"50","In Koenigsberg.",2
"51","Laeuffers Zimmer.",2
"52","Leipzig.",2
"53","Pastor Laeuffer.  Der geheime Rath.",2
"54","Sechste Scene.",2
"55","Zu Halle in Sachsen.",2
"56","Zu Insterburg in Preussen.",2
"57","Zu Koenigsberg in Preussen.",2
"58","Vierte Scene.",2
